clusterindex,Longitude,Latitude,SOG,COG,MedianDistance
0,-43.122379762857136,-22.785214285,10.871428571428572,49.80714285714286,257.06683066922056
0,-43.11396060454546,-22.77902727181818,10.554545454545455,52.363636363636374,356.7690306424225
0,-43.10575625,-22.773224999375003,10.624999999999998,50.662499999999994,261.2864917118467
0,-43.10038333,-22.767630555,10.683333333333332,31.03333333333333,110.30155577536067
1,-43.15688636318182,-22.811663635454547,9.48181818181818,309.7954545454545,307.28318784098707
1,-43.16698492095238,-22.806946824761912,8.89047619047619,287.952380952381,329.51424847009355
1,-43.175583333076915,-22.80450576923077,3.8500000000000005,281.0384615384616,156.0026071137511
2,-43.15618846230769,-22.861515384615384,10.584615384615384,10.115384615384615,198.4009862364811
2,-43.153102579047605,-22.851148809642854,6.530952380952378,20.175000000000004,386.1992355110425
2,-43.14991378211538,-22.844545993461548,2.3711538461538444,30.551923076923078,113.6197333585497
2,-43.152096666999995,-22.828854999999997,8.33,7.839999999999999,361.67468733393446
3,-43.14817083416667,-22.877976388333334,3.975,307.8,161.27883938480574
4,-43.149233333333335,-22.8503375,1.4000000000000001,350.29999999999995,9.876177306576544
5,-43.14899301161291,-22.850801075483872,0.6580645161290325,145.87419354838707,23.232959018894732
6,-43.104260715,-22.761714285714287,4.6499999999999995,260.8571428571429,179.7617784273315
7,-43.10040555583335,-22.929374536666668,3.3277777777777775,343.4555555555555,187.16827563364353
7,-43.10166363636363,-22.920815150909092,0.6272727272727272,345.29090909090905,31.797429171818855
8,-43.09408571428571,-22.82464523857143,1.2285714285714289,347.85714285714283,19.406364220867328
9,-43.17294999999999,-22.805482575,8.75909090909091,106.37272727272729,270.80218400238107
9,-43.165788095714284,-22.80745476285714,10.014285714285714,105.9857142857143,129.23327731874048
10,-43.09551481555555,-22.824892592222223,3.6222222222222222,233.39999999999998,70.00845877887615
11,-43.09449722333334,-22.824383335000004,2.1,256.49999999999994,31.34410321765647
12,-43.117242857142855,-22.820792855714284,0.9714285714285713,193.0,12.46825727672184
13,-43.12684333400001,-22.833073333333335,0.6933333333333332,7.973333333333334,14.283206363126334
14,-43.1060204165,-23.023041665750004,1.0875000000000004,45.65500000000001,402.0888460420723
15,-43.12752753608695,-22.83359311586956,0.8369565217391306,225.33913043478262,104.4310828385926
16,-43.13617592666665,-23.014929629999997,7.177777777777779,8.988888888888889,290.9901904465927
16,-43.135586667999995,-23.006536666000002,6.7,2.42,425.7964186378709
16,-43.13508461461538,-22.995176923076922,6.638461538461538,4.3769230769230765,348.00676580357566
16,-43.13480833,-22.9842,6.65,3.5,303.8777847285729
16,-43.135802777500004,-22.969763889166668,6.233333333333334,4.708333333333333,128.63603811896178
