MMSI;Time;SOG;Longitude;Latitude;COG
117;19900101_051759;0.5;-43.16243333;-22.89253333;66.8
106;19900101_051929;11;-43.04068333;-23.05216667;308.7
107;19900101_052007;0;-43.17093333;-22.90306667;278.3
103;19900101_052412;12.1;-43.13576667;-22.89495;74.7
102;19900101_052413;0.1;-43.17403333;-22.86266667;217.5
117;19900101_052419;0.7;-43.1624;-22.89251667;69.3
106;19900101_052435;11.2;-43.04116667;-23.05181667;310.2
107;19900101_052437;0;-43.17091667;-22.90306667;288.4
103;19900101_052602;12.1;-43.13521667;-22.89481667;75.1
117;19900101_052701;0.3;-43.16238333;-22.89251667;79.5
106;19900101_052737;11.5;-43.0416;-23.05148333;315.1
107;19900101_055748;0;-43.17091667;-22.90306667;271.8
103;19900101_070118;12.1;-43.13456667;-22.89466667;75.7
117;19900101_070212;0.2;-43.16236667;-22.89251667;93.3
107;19900101_070712;0.1;-43.17093333;-22.90306667;265.9
103;19900101_072636;12.1;-43.13405;-22.89456667;76.8
117;19900101_072733;0.7;-43.16235;-22.89251667;93.2
112;19900101_080511;0.1;-43.14783333;-22.88086667;256.6
107;19900101_082914;0;-43.17093333;-22.90306667;257.6
103;19900101_083335;11.7;-43.13341667;-22.89445;78.9
117;19900101_083346;0.6;-43.16231667;-22.89253333;92.2
106;19900101_083426;11.4;-43.04293333;-23.05053333;308.2
107;19900101_083445;0;-43.17093333;-22.90306667;265.7
108;19900101_083453;0;-43.1305;-22.86316667;283.6
103;19900101_083825;11.2;-43.13293333;-22.89436667;80
117;19900101_083906;0.3;-43.1623;-22.89251667;85.8
107;19900101_084225;0;-43.17091667;-22.90306667;269.1
103;19900101_090258;9.6;-43.1324;-22.8943;80.8
117;19900101_090708;0.4;-43.16225;-22.89253333;84
106;19900101_090717;11.4;-43.04378333;-23.04993333;298.3
107;19900101_090727;0;-43.17091667;-22.90308333;260.5
103;19900101_094314;8.8;-43.13201667;-22.89425;81.3
117;19900101_094757;0.7;-43.16221667;-22.89253333;83.3
107;19900101_101153;0;-43.17093333;-22.90308333;0
103;19900101_101403;7.9;-43.13158333;-22.89418333;82.3
117;19900101_101415;0.5;-43.16218333;-22.89253333;78.2
107;19900101_101443;0.1;-43.17093333;-22.90308333;246.3
103;19900101_101644;7.5;-43.13123333;-22.89413333;83
117;19900101_101650;0.7;-43.16216667;-22.89253333;76.3
106;19900101_101728;11.5;-43.04515;-23.04896667;316.5
107;19900101_101807;0;-43.17091667;-22.90306667;247.2
105;19900101_101853;0;-43.1698;-22.91731667;118.6
103;19900101_102017;7;-43.13086667;-22.89411667;85.3
117;19900101_102045;0.6;-43.16213333;-22.89251667;73.3
106;19900101_102108;11.6;-43.04563333;-23.04863333;313.9
107;19900101_102110;0;-43.17093333;-22.90306667;245.7
117;19900101_103635;0.6;-43.16208333;-22.89251667;75.7
107;19900101_103835;0;-43.17091667;-22.90308333;246.6
103;19900101_121214;6.6;-43.13018333;-22.89408333;87.7
117;19900101_121316;0.7;-43.16205;-22.8925;74
107;19900101_121452;0;-43.17091667;-22.90306667;266.9
103;19900101_164127;6.5;-43.12988333;-22.89408333;89.1
117;19900101_164133;0.7;-43.16201667;-22.89248333;72.4
106;19900101_164438;11.7;-43.04703333;-23.0477;293.7
107;19900101_182856;0;-43.17091667;-22.90308333;268.8
103;19900101_191601;6.5;-43.12953333;-22.89408333;88.9
117;19900101_191608;0.7;-43.16196667;-22.89248333;68.9
106;19900101_191621;11.4;-43.04736667;-23.0474;307.9
107;19900101_191702;0;-43.17091667;-22.90306667;256.4
103;19900101_192050;6.5;-43.12923333;-22.89408333;89.2
117;19900101_192408;0.5;-43.16195;-22.89246667;67.5
106;19900101_195556;11.3;-43.04785;-23.04703333;308.9
107;19900101_195716;0.1;-43.17091667;-22.90306667;257.8
104;19900101_195746;0.1;-43.14913333;-22.88986667;54.1
101;19900101_195933;0.1;-43.15986667;-22.87815;209
117;19900101_200007;0.6;-43.16191667;-22.89245;65.5
107;19900101_200019;0;-43.17091667;-22.90306667;264.1
103;19900101_200216;6.4;-43.12855;-22.8941;91.1
117;19900101_200217;0.5;-43.16188333;-22.89243333;64.3
106;19900101_200246;11.6;-43.04876667;-23.0464;315.7
107;19900101_200317;0.1;-43.17091667;-22.90306667;257.5
117;19900101_200606;0.6;-43.16185;-22.89241667;63.6
106;19900101_200629;11.5;-43.04925;-23.04611667;304.4
107;19900101_200640;0;-43.17093333;-22.90306667;267.9
